data,valor,serie,fonte,codigo,ajuste_sazonal,variavel,base
2012-11-01,10483123,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2012-12-01,9224109,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2013-01-01,9449635,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2013-02-01,8806255,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2013-03-01,9770125,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2013-04-01,10182004,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2013-05-01,10497776,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2013-06-01,10170192,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2013-07-01,10802689,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2013-08-01,11204481,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2013-09-01,10729566,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2013-10-01,11258121,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2013-11-01,10614223,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2013-12-01,9008429,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2014-01-01,9260558,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
